feature,importance
gemini_rank,24.157220125198364
has_knowledge_test,19.91000623907894
has_behavioral_test,11.34749984741211
technical_skill_overlap,7.600480079650879
assessment_name_length,7.36053092777729
query_length,5.669820261187851
role_category_match,5.53518009185791
query_assessment_name_overlap,4.901119947433472
level_match,3.3215999603271484
assessment_has_adaptive,1.6949800252914429
assessment_tag_count,1.4149800539016724
query_description_overlap,1.335960030555725
skill_coverage_ratio,0.0
assessment_has_remote,0.0
assessment_skill_count,0.0
